id,GridID,X_coord,Y_coord
3437,1686,1769870,5915250
750,1705,1752870,5915750
829,1706,1753370,5915750
908,1707,1753870,5915750
987,1708,1754370,5915750
1066,1709,1754870,5915750
1145,1710,1755370,5915750
1224,1711,1755870,5915750
1303,1712,1756370,5915750
1382,1713,1756870,5915750
1461,1714,1757370,5915750
1540,1715,1757870,5915750
1619,1716,1758370,5915750
1698,1717,1758870,5915750
1777,1718,1759370,5915750
1856,1719,1759870,5915750
1935,1720,1760370,5915750
2014,1721,1760870,5915750
2093,1722,1761370,5915750
2172,1723,1761870,5915750
2251,1724,1762370,5915750
2330,1725,1762870,5915750
2409,1726,1763370,5915750
2488,1727,1763870,5915750
2567,1728,1764370,5915750
2646,1729,1764870,5915750
2725,1730,1765370,5915750
2804,1731,1765870,5915750
2883,1732,1766370,5915750
3199,1736,1768370,5915750
3278,1737,1768870,5915750
3357,1738,1769370,5915750
3436,1739,1769870,5915750
749,1758,1752870,5916250
828,1759,1753370,5916250
907,1760,1753870,5916250
986,1761,1754370,5916250
1065,1762,1754870,5916250
1144,1763,1755370,5916250
1223,1764,1755870,5916250
1302,1765,1756370,5916250
1381,1766,1756870,5916250
1460,1767,1757370,5916250
1539,1768,1757870,5916250
1618,1769,1758370,5916250
1697,1770,1758870,5916250
1776,1771,1759370,5916250
1855,1772,1759870,5916250
1934,1773,1760370,5916250
2013,1774,1760870,5916250
2092,1775,1761370,5916250
2171,1776,1761870,5916250
2250,1777,1762370,5916250
2329,1778,1762870,5916250
2408,1779,1763370,5916250
2487,1780,1763870,5916250
2566,1781,1764370,5916250
2645,1782,1764870,5916250
2724,1783,1765370,5916250
2803,1784,1765870,5916250
2882,1785,1766370,5916250
3277,1790,1768870,5916250
3356,1791,1769370,5916250
3435,1792,1769870,5916250
748,1811,1752870,5916750
827,1812,1753370,5916750
906,1813,1753870,5916750
985,1814,1754370,5916750
1064,1815,1754870,5916750
1143,1816,1755370,5916750
1222,1817,1755870,5916750
1301,1818,1756370,5916750
1380,1819,1756870,5916750
1459,1820,1757370,5916750
1538,1821,1757870,5916750
1617,1822,1758370,5916750
1696,1823,1758870,5916750
1775,1824,1759370,5916750
1854,1825,1759870,5916750
1933,1826,1760370,5916750
2012,1827,1760870,5916750
2091,1828,1761370,5916750
2170,1829,1761870,5916750
2249,1830,1762370,5916750
2328,1831,1762870,5916750
2407,1832,1763370,5916750
2486,1833,1763870,5916750
2565,1834,1764370,5916750
2644,1835,1764870,5916750
2723,1836,1765370,5916750
2802,1837,1765870,5916750
2881,1838,1766370,5916750
2960,1839,1766870,5916750
3434,1845,1769870,5916750
747,1864,1752870,5917250
826,1865,1753370,5917250
905,1866,1753870,5917250
984,1867,1754370,5917250
1063,1868,1754870,5917250
1142,1869,1755370,5917250
1221,1870,1755870,5917250
1300,1871,1756370,5917250
1379,1872,1756870,5917250
1458,1873,1757370,5917250
1537,1874,1757870,5917250
1616,1875,1758370,5917250
1695,1876,1758870,5917250
1774,1877,1759370,5917250
1853,1878,1759870,5917250
1932,1879,1760370,5917250
2011,1880,1760870,5917250
2090,1881,1761370,5917250
2169,1882,1761870,5917250
2248,1883,1762370,5917250
